Week Ending Date,State,Observed Number,Upper Bound Threshold,Exceeds Threshold,Average Expected Count,Excess Lower Estimate,Excess Higher Estimate,Year,Total Excess Lower Estimate in 2020,Total Excess Higher Estimate in 2020,Percent Excess Lower Estimate,Percent Excess Higher Estimate,Type,Outcome,Suppress,Note
2017-06-10,Alabama,984,1088,false,942,0,42,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-06-17,Alabama,918,1082,false,937,0,0,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-06-24,Alabama,961,1077,false,931,0,30,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-07-01,Alabama,925,1061,false,920,0,5,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-07-08,Alabama,954,1064,false,920,0,34,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-07-15,Alabama,968,1064,false,919,0,49,2017,392,1182,0.0,0.1,Predicted (weighted),All causes,,
2017-07-22,Alabama,964,1078,false,932,0,32,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-07-29,Alabama,888,1089,false,942,0,0,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-08-05,Alabama,949,1093,false,948,0,1,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-08-12,Alabama,936,1097,false,950,0,0,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-08-19,Alabama,933,1085,false,938,0,0,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-08-26,Alabama,917,1074,false,929,0,0,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-09-02,Alabama,953,1064,false,920,0,33,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-09-09,Alabama,960,1063,false,923,0,37,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-09-16,Alabama,968,1076,false,931,0,37,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-09-23,Alabama,995,1095,false,949,0,46,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-09-30,Alabama,1019,1108,false,961,0,58,2017,392,1182,0.0,0.1,Predicted (weighted),All causes,,
2017-10-07,Alabama,948,1114,false,969,0,0,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-10-14,Alabama,986,1126,false,980,0,6,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-10-21,Alabama,966,1125,false,979,0,0,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-10-28,Alabama,941,1134,false,986,0,0,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-11-04,Alabama,994,1142,false,994,0,0,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-11-11,Alabama,994,1157,false,1012,0,0,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-11-18,Alabama,982,1175,false,1027,0,0,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-11-25,Alabama,1004,1193,false,1044,0,0,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-12-02,Alabama,1067,1200,false,1049,0,18,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-12-09,Alabama,1074,1220,false,1069,0,5,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-12-16,Alabama,1120,1235,false,1082,0,38,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-12-23,Alabama,1098,1241,false,1090,0,8,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2017-12-30,Alabama,1080,1258,false,1105,0,0,2017,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-01-06,Alabama,1248,1283,false,1130,0,118,2018,392,1182,0.0,0.1,Predicted (weighted),All causes,,
2018-01-13,Alabama,1301,1289,true,1133,12,168,2018,392,1182,0.0,0.1,Predicted (weighted),All causes,,
2018-01-20,Alabama,1275,1301,false,1145,0,130,2018,392,1182,0.0,0.1,Predicted (weighted),All causes,,
2018-01-27,Alabama,1286,1306,false,1156,0,130,2018,392,1182,0.0,0.1,Predicted (weighted),All causes,,
2018-02-03,Alabama,1147,1302,false,1151,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-02-10,Alabama,1181,1293,false,1144,0,37,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-02-17,Alabama,1096,1296,false,1147,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-02-24,Alabama,1099,1295,false,1144,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-03-03,Alabama,985,1278,false,1130,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-03-10,Alabama,1059,1268,false,1119,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-03-17,Alabama,1086,1251,false,1105,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-03-24,Alabama,993,1239,false,1094,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-03-31,Alabama,995,1230,false,1084,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-04-07,Alabama,1012,1216,false,1069,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-04-14,Alabama,1026,1208,false,1063,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-04-21,Alabama,1031,1203,false,1059,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-04-28,Alabama,971,1195,false,1053,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-05-05,Alabama,1039,1187,false,1043,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-05-12,Alabama,950,1179,false,1035,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-05-19,Alabama,1005,1166,false,1025,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-05-26,Alabama,977,1156,false,1016,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-06-02,Alabama,973,1137,false,1002,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-06-09,Alabama,1011,1131,false,991,0,20,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-06-16,Alabama,940,1122,false,982,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-06-23,Alabama,974,1115,false,977,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-06-30,Alabama,927,1111,false,975,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-07-07,Alabama,972,1113,false,977,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-07-14,Alabama,994,1111,false,973,0,21,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-07-21,Alabama,959,1122,false,984,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-07-28,Alabama,930,1132,false,995,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-08-04,Alabama,962,1138,false,1002,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-08-11,Alabama,969,1126,false,997,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-08-18,Alabama,938,1115,false,983,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-08-25,Alabama,943,1109,false,975,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-09-01,Alabama,936,1108,false,972,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-09-08,Alabama,944,1104,false,966,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-09-15,Alabama,912,1120,false,983,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-09-22,Alabama,998,1117,false,992,0,6,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-09-29,Alabama,972,1122,false,999,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-10-06,Alabama,945,1117,false,993,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-10-13,Alabama,943,1111,false,987,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-10-20,Alabama,971,1112,false,988,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-10-27,Alabama,993,1113,false,989,0,4,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-11-03,Alabama,927,1101,false,984,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-11-10,Alabama,963,1124,false,1004,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-11-17,Alabama,1055,1153,false,1029,0,26,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-11-24,Alabama,1009,1170,false,1045,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-12-01,Alabama,1050,1189,false,1062,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-12-08,Alabama,1044,1203,false,1081,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-12-15,Alabama,1053,1211,false,1088,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-12-22,Alabama,1105,1218,false,1094,0,11,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2018-12-29,Alabama,1084,1247,false,1123,0,0,2018,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-01-05,Alabama,1076,1273,false,1146,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-01-12,Alabama,1090,1304,false,1175,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-01-19,Alabama,1114,1317,false,1192,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-01-26,Alabama,1063,1316,false,1194,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-02-02,Alabama,1095,1297,false,1177,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-02-09,Alabama,1092,1293,false,1173,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-02-16,Alabama,1103,1279,false,1160,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-02-23,Alabama,1064,1276,false,1152,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-03-02,Alabama,1050,1254,false,1137,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-03-09,Alabama,1062,1233,false,1119,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-03-16,Alabama,1090,1218,false,1104,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-03-23,Alabama,1012,1213,false,1098,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-03-30,Alabama,1079,1202,false,1090,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-04-06,Alabama,1044,1185,false,1073,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-04-13,Alabama,1031,1171,false,1063,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-04-20,Alabama,954,1166,false,1059,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-04-27,Alabama,1042,1166,false,1055,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-05-04,Alabama,1031,1161,false,1050,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-05-11,Alabama,1009,1147,false,1038,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-05-18,Alabama,996,1128,false,1022,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-05-25,Alabama,974,1117,false,1013,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-06-01,Alabama,1027,1111,false,1003,0,24,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-06-08,Alabama,1029,1112,false,1004,0,25,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-06-15,Alabama,986,1098,false,994,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-06-22,Alabama,989,1093,false,992,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-06-29,Alabama,940,1095,false,997,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-07-06,Alabama,1028,1111,false,1008,0,20,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-07-13,Alabama,1017,1106,false,1001,0,16,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-07-20,Alabama,962,1104,false,1002,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-07-27,Alabama,980,1100,false,1000,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-08-03,Alabama,984,1091,false,995,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-08-10,Alabama,997,1091,false,991,0,6,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-08-17,Alabama,977,1096,false,995,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-08-24,Alabama,939,1097,false,995,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-08-31,Alabama,974,1095,false,995,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-09-07,Alabama,1009,1100,false,1000,0,9,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-09-14,Alabama,1000,1113,false,1011,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-09-21,Alabama,883,1115,false,1012,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-09-28,Alabama,987,1115,false,1014,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-10-05,Alabama,958,1109,false,1008,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-10-12,Alabama,907,1097,false,997,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-10-19,Alabama,1009,1092,false,992,0,17,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-10-26,Alabama,978,1100,false,997,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-11-02,Alabama,937,1107,false,1005,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-11-09,Alabama,1041,1122,false,1023,0,18,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-11-16,Alabama,1070,1140,false,1043,0,27,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-11-23,Alabama,1042,1157,false,1058,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-11-30,Alabama,1038,1168,false,1069,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-12-07,Alabama,1072,1175,false,1076,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-12-14,Alabama,1081,1180,false,1079,0,2,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-12-21,Alabama,1103,1176,false,1078,0,25,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2019-12-28,Alabama,1034,1184,false,1088,0,0,2019,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2020-01-04,Alabama,1076,1189,false,1092,0,0,2020,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2020-01-11,Alabama,1123,1183,false,1093,0,30,2020,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2020-01-18,Alabama,1043,1180,false,1103,0,0,2020,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2020-01-25,Alabama,1057,1187,false,1113,0,0,2020,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2020-02-01,Alabama,1028,1185,false,1113,0,0,2020,392,1182,0.0,0.0,Predicted (weighted),All causes,,
2020-02-08,Alabama,1120,1188,false,1117,0,3,2020,392,1182,0.0,0.0,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
2020-02-15,Alabama,1094,1188,false,1110,0,0,2020,392,1182,0.0,0.0,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
2020-02-22,Alabama,1099,1179,false,1100,0,0,2020,392,1182,0.0,0.0,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
2020-02-29,Alabama,1164,1165,false,1092,0,72,2020,392,1182,0.0,0.1,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
2020-03-07,Alabama,1058,1150,false,1080,0,0,2020,392,1182,0.0,0.0,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
2020-03-14,Alabama,1089,1141,false,1072,0,17,2020,392,1182,0.0,0.0,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
2020-03-21,Alabama,1056,1141,false,1066,0,0,2020,392,1182,0.0,0.0,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
2020-03-28,Alabama,1064,1132,false,1058,0,6,2020,392,1182,0.0,0.0,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
2020-04-04,Alabama,1148,1115,true,1044,33,104,2020,392,1182,0.0,0.1,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
2020-04-11,Alabama,1133,1108,true,1038,25,95,2020,392,1182,0.0,0.1,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
2020-04-18,Alabama,1137,1099,true,1031,38,106,2020,392,1182,0.0,0.1,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
2020-04-25,Alabama,1132,1097,true,1021,35,111,2020,392,1182,0.0,0.1,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
2020-05-02,Alabama,1135,1089,true,1016,46,119,2020,392,1182,0.0,0.1,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
2020-05-09,Alabama,1165,1082,true,1010,83,155,2020,392,1182,0.1,0.2,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
2020-05-16,Alabama,1123,1079,true,1009,44,114,2020,392,1182,0.0,0.1,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
2020-05-23,Alabama,1144,1071,true,1004,73,140,2020,392,1182,0.1,0.1,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
2020-05-30,Alabama,1056,1082,false,1006,0,50,2020,392,1182,0.0,0.0,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
2020-06-06,Alabama,1081,1066,true,992,15,89,2020,392,1182,0.0,0.1,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
2020-06-13,Alabama,991,1058,false,988,0,3,2020,392,1182,0.0,0.0,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
2020-06-20,Alabama,683,1051,false,982,0,0,2020,392,1182,0.0,0.0,Predicted (weighted),All causes,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction. Weights may be too low to account for underreporting, numbers of deaths are likely underestimated."
2020-06-27,Alabama,,1046,false,980,0,0,2020,392,1182,0.0,0.0,Predicted (weighted),All causes,"Suppressed (counts highly incomplete, <50% of expected)","Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction. Weights may be too low to account for underreporting, numbers of deaths are likely underestimated."
2017-01-14,Alaska,87,109,false,89,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-01-21,Alaska,93,107,false,87,0,6,2017,0,65,0.0,0.1,Predicted (weighted),All causes,,
2017-01-28,Alaska,80,107,false,87,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-02-04,Alaska,87,105,false,86,0,1,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-02-11,Alaska,63,105,false,86,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-02-18,Alaska,80,102,false,83,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-02-25,Alaska,73,103,false,83,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-03-04,Alaska,66,102,false,82,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-03-11,Alaska,74,103,false,83,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-03-18,Alaska,84,103,false,84,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-03-25,Alaska,92,103,false,83,0,9,2017,0,65,0.0,0.1,Predicted (weighted),All causes,,
2017-04-01,Alaska,89,104,false,84,0,5,2017,0,65,0.0,0.1,Predicted (weighted),All causes,,
2017-04-08,Alaska,78,104,false,84,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-04-15,Alaska,88,101,false,82,0,6,2017,0,65,0.0,0.1,Predicted (weighted),All causes,,
2017-04-22,Alaska,58,98,false,80,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-04-29,Alaska,80,100,false,81,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-05-06,Alaska,73,101,false,81,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-05-13,Alaska,77,101,false,81,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-05-20,Alaska,68,104,false,84,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-05-27,Alaska,76,105,false,85,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-06-03,Alaska,77,103,false,84,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-06-10,Alaska,84,103,false,83,0,1,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-06-17,Alaska,90,107,false,87,0,3,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-06-24,Alaska,81,106,false,86,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-07-01,Alaska,79,107,false,87,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-07-08,Alaska,82,110,false,90,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-07-15,Alaska,70,112,false,91,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-07-22,Alaska,81,109,false,88,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-07-29,Alaska,79,107,false,87,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-08-05,Alaska,64,104,false,84,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-08-12,Alaska,68,103,false,84,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-08-19,Alaska,89,102,false,83,0,6,2017,0,65,0.0,0.1,Predicted (weighted),All causes,,
2017-08-26,Alaska,89,104,false,84,0,5,2017,0,65,0.0,0.1,Predicted (weighted),All causes,,
2017-09-02,Alaska,77,107,false,87,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-09-09,Alaska,86,105,false,86,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-09-16,Alaska,83,104,false,85,0,0,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-09-23,Alaska,89,105,false,86,0,3,2017,0,65,0.0,0.0,Predicted (weighted),All causes,,
2017-09-30,Alaska,115,108,true,87,7,28,2017,0,65,0.1,0.3,Predicted (weighted),All causes,,
